IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
47.236.169.15,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",444,7.66
47.236.10.100,2052,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",551,7.60
8.222.249.190,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",467,7.44
47.236.130.95,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",456,7.41
47.236.75.113,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",415,7.39
47.236.167.231,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",463,7.34
47.236.121.23,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",470,7.22
47.236.167.231,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",470,6.96
8.222.146.222,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",484,6.91
47.236.180.51,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",493,6.83
47.236.174.206,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",454,6.81
47.237.100.206,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",428,6.76
47.236.9.152,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",534,6.75
47.236.10.100,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",467,6.66
47.236.93.176,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",443,6.65
47.236.97.90,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",467,6.59
47.236.170.225,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",483,6.58
47.236.150.13,2052,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",473,6.44
47.236.17.193,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",556,6.43
8.222.146.222,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",461,6.30
47.237.95.140,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",524,6.28
8.219.0.48,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",459,6.03
8.219.97.50,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",471,6.00
47.236.171.205,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",440,5.98
47.237.83.20,2052,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",452,5.96
47.236.168.17,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",541,5.94
47.236.180.24,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",439,5.89
47.237.14.220,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",462,5.83
47.236.253.41,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",504,5.83
47.237.121.38,2052,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",487,5.55
47.236.144.208,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",465,5.54
8.222.146.222,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",468,5.43
8.219.191.110,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",464,5.40
47.236.144.48,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",526,5.38
47.236.93.176,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",461,5.37
47.236.166.131,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",440,5.36
47.237.8.82,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",449,5.34
47.237.10.1,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",478,5.25
8.222.137.192,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",464,5.12
47.237.14.220,2052,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",443,5.06
8.219.83.201,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",485,4.99
